country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Mongolia	0.76	0.78	0.79	0.79	0.77	0.8	0.81	0.8	0.82	0.84	0.84	0.81	0.64	0.79	0.78	0.88	0.9	0.92	0.94	0.94	0.94	0.95	0.98	0.98	0.99	0.99	0.99	0.95	0.96	0.95	0.96	0.99
Montenegro																											0.9	0.92	0.95	0.92	0.94	0.95
Morocco			0.32	0.41	0.45	0.51	0.63	0.85	0.82	0.8	0.81	0.81	0.87	0.86	0.87	0.9	0.95	0.94	0.93	0.91	0.95	0.96	0.94	0.91	0.97	0.98	0.97	0.95	0.99	0.99	0.99	0.99
Mozambique		0.56	0.43	0.38	0.32	0.29	0.32	0.39	0.38	0.47	0.46	0.46	0.5	0.49	0.55	0.57	0.6	0.62	0.65	0.68	0.7	0.73	0.76	0.76	0.76	0.75	0.75	0.75	0.75	0.74	0.74	0.76
Myanmar	0.04	0.05	0.09	0.11	0.12	0.16	0.2	0.23	0.28	0.5	0.88	0.66	0.71	0.73	0.77	0.84	0.88	0.9	0.9	0.75	0.82	0.73	0.79	0.8	0.86	0.8	0.91	0.97	0.98	0.99	0.99	0.99
Namibia												0.69	0.7	0.73	0.79	0.74	0.7	0.66	0.74	0.72	0.79	0.78	0.77	0.79	0.81	0.86	0.86	0.86	0.83	0.83	0.83	0.82
Nauru					0.67	0.67	0.61	0.55	0.67	0.75	0.74	0.7	0.67	0.63	0.6	0.56	0.53	0.5	0.72	0.64	0.44	0.95	0.8	0.8	0.8	0.8	0.72	0.99	0.99	0.99	0.99	0.99
Nepal	0.08	0.16	0.18	0.23	0.27	0.32	0.38	0.46	0.45	0.44	0.43	0.46	0.49	0.51	0.54	0.54	0.65	0.78	0.71	0.65	0.74	0.72	0.72	0.78	0.8	0.75	0.89	0.82	0.82	0.89	0.82	0.92
Netherlands	0.96	0.96	0.96	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.98	0.98	0.98	0.96	0.96	0.97	0.97	0.97	0.97
New Zealand	0.76	0.72	0.73	0.73	0.83	0.72	0.7	0.67	0.69	0.8	0.9	0.81	0.81	0.83	0.84	0.89	0.88	0.86	0.81	0.88	0.9	0.9	0.9	0.9	0.89	0.89	0.89	0.88	0.89	0.92	0.93	0.95
Nicaragua	0.16	0.23	0.27	0.24	0.33	0.39	0.45	0.51	0.47	0.68	0.7	0.75	0.81	0.81	0.81	0.8	0.8	0.8	0.73	0.79	0.83	0.87	0.85	0.86	0.79	0.86	0.88	0.93	0.97	0.98	0.98	0.98
Niger		0.06	0.06	0.05	0.05	0.04	0.05	0.07	0.09	0.13	0.22	0.19	0.2	0.2	0.2	0.23	0.23	0.25	0.29	0.32	0.34	0.36	0.39	0.41	0.43	0.45	0.51	0.57	0.67	0.71	0.7	0.75
Nigeria					0.09	0.16	0.22	0.29	0.36	0.47	0.56	0.39	0.43	0.29	0.44	0.34	0.26	0.21	0.32	0.31	0.29	0.27	0.25	0.29	0.33	0.36	0.4	0.42	0.53	0.63	0.69	0.47
North Korea	0.5	0.52	0.51	0.52	0.67	0.55	0.61	0.86	0.87	0.97	0.98	0.97	0.9	0.9	0.77	0.64	0.5	0.37	0.43	0.5	0.56	0.62	0.64	0.68	0.72	0.79	0.89	0.92	0.92	0.93	0.93	0.94
North Macedonia														0.9	0.88	0.95	0.93	0.97	0.94	0.95	0.95	0.91	0.96	0.96	0.94	0.97	0.93	0.95	0.95	0.96	0.95	0.95
Norway				0.9	0.9	0.85	0.83	0.8	0.83	0.83	0.86	0.96	0.98	0.94	0.93	0.97	0.97	0.95	0.93	0.92	0.9	0.91	0.93	0.92	0.92	0.91	0.94	0.93	0.94	0.94	0.93	0.94
Oman	0.18	0.19	0.24	0.31	0.45	0.6	0.82	0.89	0.9	0.98	0.98	0.95	0.99	0.97	0.97	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.98	0.99	0.99
Pakistan	0.02	0.03	0.05	0.15	0.23	0.3	0.34	0.36	0.38	0.4	0.54	0.5	0.42	0.37	0.39	0.58	0.46	0.52	0.55	0.58	0.62	0.65	0.68	0.67	0.65	0.8	0.83	0.83	0.69	0.76	0.86	0.8
Palau							0.98	0.81	0.99	0.78	0.99	0.98	0.93	0.89	0.67	0.99	0.98	0.91	0.96	0.96	0.96	0.98	0.99	0.99	0.98	0.98	0.98	0.94	0.92	0.49	0.69	0.84
Palestine														0.94	0.98	0.99	0.97	0.96	0.98	0.89	0.93	0.97	0.97	0.98	0.96	0.96	0.96	0.99	0.96	0.97	0.99	0.99
Panama	0.47	0.78	0.6	0.6	0.59	0.73	0.7	0.72	0.75	0.7	0.86	0.82	0.77	0.83	0.83	0.86	0.91	0.95	0.98	0.92	0.98	0.99	0.99	0.98	0.95	0.92	0.88	0.85	0.86	0.85	0.94	0.87
Papua New Guinea	0.32	0.32	0.29	0.27	0.34	0.4	0.44	0.44	0.48	0.53	0.68	0.68	0.58	0.58	0.61	0.62	0.56	0.45	0.6	0.6	0.59	0.55	0.61	0.68	0.62	0.61	0.61	0.6	0.52	0.62	0.56	0.61
Paraguay	0.17	0.28	0.34	0.45	0.67	0.57	0.53	0.58	0.56	0.61	0.67	0.66	0.73	0.66	0.71	0.68	0.72	0.75	0.79	0.82	0.86	0.89	0.87	0.86	0.92	0.94	0.96	0.92	0.9	0.86	0.9	0.9
Peru	0.16	0.2	0.23	0.23	0.28	0.48	0.5	0.43	0.6	0.58	0.72	0.71	0.83	0.87	0.87	0.9	0.94	0.9	0.94	0.99	0.98	0.9	0.95	0.94	0.91	0.86	0.83	0.81	0.79	0.93	0.93	0.91
Philippines	0.47	0.54	0.54	0.55	0.57	0.59	0.66	0.72	0.79	0.86	0.88	0.9	0.8	0.76	0.73	0.7	0.75	0.81	0.81	0.8	0.78	0.79	0.79	0.84	0.88	0.89	0.88	0.87	0.91	0.87	0.79	0.8
Poland	0.96	0.96	0.95	0.95	0.95	0.94	0.95	0.96	0.96	0.96	0.96	0.95	0.95	0.95	0.96	0.96	0.97	0.98	0.98	0.98	0.98	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Portugal	0.73	0.75	0.78	0.79	0.78	0.72	0.81	0.83	0.81	0.88	0.89	0.96	0.94	0.93	0.97	0.93	0.95	0.94	0.97	0.97	0.96	0.97	0.98	0.99	0.95	0.93	0.97	0.97	0.97	0.96	0.98	0.98
Qatar	0.61	0.43	0.37	0.49	0.6	0.71	0.72	0.72	0.69	0.81	0.82	0.86	0.88	0.9	0.91	0.92	0.92	0.92	0.94	0.92	0.8	0.93	0.96	0.92	0.96	0.97	0.96	0.94	0.97	0.99	0.97	0.93
Romania						0.95	0.89	0.92	0.96	0.96	0.96	0.98	0.98	0.91	0.98	0.98	0.98	0.97	0.97	0.97	0.99	0.99	0.98	0.97	0.97	0.97	0.97	0.96	0.96	0.95	0.94	0.89
Russia													0.72	0.79	0.88	0.78	0.84	0.88	0.91	0.95	0.96	0.96	0.96	0.97	0.97	0.98	0.99	0.98	0.98	0.98	0.97	0.97
Rwanda		0.17	0.38	0.59	0.55	0.5	0.87	0.88	0.8	0.82	0.84	0.91	0.85	0.83	0.23	0.83	0.89	0.73	0.79	0.85	0.9	0.77	0.88	0.96	0.89	0.95	0.99	0.97	0.97	0.97	0.97	0.97
Samoa	0.29	0.66	0.87	0.89	0.96	0.89	0.94	0.93	0.9	0.66	0.9	0.79	0.91	0.92	0.93	0.94	0.95	0.96	0.99	0.98	0.99	0.93	0.96	0.94	0.68	0.64	0.56	0.71	0.46	0.72	0.87	0.91
San Marino				0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.88	0.99	0.99	0.99		0.99	0.96	0.96	0.96	0.96	0.98	0.95	0.95	0.92	0.87	0.92	0.79	0.86
Sao Tome and Principe		0.42	0.34	0.26	0.49	0.48	0.65	0.72	0.77	0.63	0.92	0.87	0.68	0.6	0.83	0.79	0.68	0.73	0.73	0.78	0.82	0.92	0.92	0.94	0.96	0.97	0.97	0.97	0.99	0.98	0.98	0.96
Saudi Arabia	0.41	0.53	0.62	0.67	0.76	0.81	0.86	0.89	0.89	0.96	0.92	0.91	0.91	0.94	0.95	0.96	0.93	0.92	0.94	0.93	0.95	0.97	0.95	0.95	0.96	0.96	0.96	0.96	0.98	0.98	0.98	0.98
Senegal							0.54	0.57	0.59	0.47	0.51	0.51	0.59	0.58	0.57	0.8	0.7	0.59	0.59	0.6	0.52	0.52	0.6	0.73	0.87	0.84	0.89	0.94	0.88	0.86	0.85	0.83
Serbia													0.84	0.85	0.85	0.89	0.91	0.94	0.93	0.92	0.95	0.93	0.95	0.89	0.88	0.98	0.92	0.94	0.95	0.95	0.91	0.91
Seychelles		0.13	0.55	0.97	0.95	0.86	0.94	0.89	0.94	0.97	0.99	0.98	0.96	0.96	0.96	0.97	0.99	0.98	0.99	0.99	0.98	0.96	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Sierra Leone																				0.43	0.44	0.38	0.53	0.73	0.65	0.65	0.64	0.64	0.78	0.84	0.84	0.84
Singapore	0.84	0.87	0.83	0.84	0.77	0.78	0.91	0.96	0.9	0.9	0.85	0.91	0.89	0.92	0.95	0.98	0.97	0.98	0.97	0.97	0.98	0.96	0.94	0.96	0.95	0.96	0.95	0.96	0.97	0.97	0.97	0.96
Slovak Republic															0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Slovenia													0.98	0.98	0.98	0.98	0.98	0.94	0.91	0.92	0.91	0.92	0.93	0.95	0.94	0.95	0.97	0.97	0.97	0.96	0.96	0.96
Solomon Islands	0.46	0.35	0.23	0.27	0.45	0.38	0.42	0.66	0.69	0.67	0.77	0.76	0.71	0.65	0.68	0.69	0.72	0.72	0.69	0.86	0.82	0.78	0.71	0.76	0.8	0.78	0.91	0.79	0.78	0.81	0.79	0.88
Somalia		0.02	0.05	0.05	0.1	0.22	0.17	0.25	0.26	0.18	0.19	0.2	0.21	0.22	0.23	0.22	0.21	0.19	0.33	0.36	0.33	0.33	0.4	0.4	0.3	0.35	0.26	0.4	0.31	0.42	0.45	0.41
South Africa				0.74	0.75	0.75	0.7	0.72	0.7	0.71	0.72	0.81	0.79	0.81	0.73	0.72	0.73	0.76	0.75	0.74	0.73	0.71	0.7	0.69	0.64	0.72	0.74	0.72	0.73	0.7	0.66	0.72
South Korea		0.61	0.61	0.69	0.76	0.76	0.76	0.57	0.58	0.89	0.74	0.79	0.84	0.88	0.93	0.99	0.9	0.8	0.74	0.86	0.97	0.97	0.97	0.97	0.88	0.96	0.98	0.91	0.94	0.94	0.94	0.99
South Sudan																																0.46
Spain					0.95	0.79	0.88	0.77	0.93	0.93	0.86	0.86	0.84	0.87	0.88	0.9	0.9	0.94	0.95	0.95	0.95	0.96	0.98	0.98	0.97	0.96	0.98	0.96	0.97	0.96	0.97	0.97
Sri Lanka	0.46	0.45	0.57	0.64	0.66	0.7	0.75	0.77	0.83	0.87	0.86	0.86	0.88	0.9	0.88	0.93	0.92	0.97	0.94	0.99	0.99	0.98	0.98	0.99	0.97	0.99	0.98	0.98	0.98	0.97	0.99	0.99
St. Kitts and Nevis	0.56	0.67	0.92	0.9	0.97	0.92	0.99	0.96	0.94	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.97	0.98	0.98	0.99	0.96	0.98	0.95	0.99	0.99	0.99	0.98	0.97	0.95	0.97
St. Lucia	0.56	0.64	0.79	0.81	0.83	0.87	0.78	0.85	0.78	0.92	0.89	0.96	0.96	0.97	0.93	0.98	0.88	0.98	0.88	0.89	0.7	0.99	0.74	0.9	0.91	0.95	0.85	0.99	0.96	0.95	0.97	0.97
St. Vincent and the Grenadines	0.26	0.32	0.67	0.8	0.86	0.9	0.95	0.97	0.98	0.98	0.98	0.99	0.99	0.99	0.99	0.97	0.99	0.99	0.99	0.94	0.97	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.99	0.99	0.99	0.95
Sudan	0.01	0.01	0.02	0.03	0.04	0.08	0.14	0.27	0.4	0.6	0.62	0.62	0.53	0.51	0.46	0.48	0.56	0.55	0.46	0.55	0.62	0.66	0.6	0.69	0.74	0.78	0.78	0.84	0.86	0.81	0.9	0.93
Suriname	0.25	0.27	0.61	0.85	0.8	0.84	0.8	0.71	0.64	0.72	0.83	0.75	0.74	0.76	0.74	0.84	0.85	0.81	0.9	0.85	0.71	0.68	0.73	0.75	0.85	0.83	0.84	0.84	0.85	0.87	0.96	0.86
Swaziland		0.3	0.39	0.43	0.5	0.61	0.74	0.86	0.89	0.89	0.89	0.79	0.93	0.89	0.96	0.82	0.82	0.82	0.84	0.85	0.87	0.89	0.9	0.92	0.93	0.95	0.95	0.95	0.94	0.94	0.89	0.91
Sweden	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.98	0.98	0.98	0.98	0.98	0.98
Switzerland							0.9	0.9	0.9	0.9	0.9	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.88	0.88	0.88	0.93	0.93	0.93	0.93	0.94	0.94	0.94	0.95	0.95	0.96	0.95
Syria	0.13	0.14	0.15	0.21	0.25	0.29	0.86	0.42	0.59	0.94	0.91	0.89	0.89	0.9	0.89	0.89	0.88	0.87	0.87	0.86	0.84	0.82	0.84	0.83	0.81	0.8	0.8	0.8	0.79	0.8	0.8	0.72
Tajikistan													0.72	0.64	0.81	0.8	0.75	0.81	0.79	0.82	0.83	0.85	0.85	0.85	0.86	0.84	0.83	0.86	0.86	0.93	0.93	0.96
Tanzania	0.59	0.55	0.5	0.52	0.58	0.67	0.74	0.79	0.85	0.77	0.78	0.81	0.83	0.83	0.84	0.81	0.82	0.79	0.79	0.76	0.79	0.87	0.89	0.95	0.95	0.9	0.9	0.83	0.86	0.85	0.91	0.9
Thailand	0.49	0.52	0.49	0.49	0.53	0.62	0.66	0.75	0.8	0.84	0.92	0.9	0.85	0.89	0.93	0.96	0.94	0.95	0.96	0.97	0.97	0.96	0.96	0.98	0.98	0.98	0.98	0.98	0.99	0.99	0.99	0.99
Timor-Leste																							0.54	0.55	0.57	0.55	0.63	0.7	0.79	0.72	0.72	0.67
Togo		0.09	0.14	0.18	0.11	0.24	0.37	0.61	0.54	0.72	0.77	0.73	0.69	0.66	0.62	0.58	0.5	0.42	0.42	0.57	0.64	0.5	0.59	0.72	0.71	0.82	0.84	0.82	0.81	0.78	0.81	0.81
Tonga	0.4	0.37	0.52	0.63	0.51	0.92	0.75	0.99	0.92	0.93	0.94	0.88	0.99	0.96	0.89	0.95	0.99	0.96	0.97	0.94	0.95	0.94	0.9	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Trinidad and Tobago	0.26	0.62	0.54	0.6	0.65	0.75	0.7	0.79	0.82	0.77	0.82	0.82	0.87	0.81	0.85	0.89	0.89	0.9	0.91	0.9	0.9	0.91	0.96	0.91	0.94	0.95	0.92	0.88	0.9	0.9	0.9	0.9
Tunisia				0.62	0.66	0.7	0.72	0.84	0.91	0.93	0.93	0.93	0.95	0.94	0.93	0.94	0.95	0.96	0.96	0.99	0.97	0.98	0.96	0.95	0.97	0.98	0.99	0.98	0.99	0.99	0.98	0.98
Turkey	0.42	0.64	0.58	0.56	0.56	0.55	0.45	0.86	0.86	0.79	0.84	0.72	0.77	0.76	0.87	0.67	0.72	0.79	0.81	0.79	0.85	0.88	0.78	0.68	0.85	0.9	0.9	0.96	0.96	0.96	0.97	0.97
Turkmenistan													0.84	0.73	0.9	0.93	0.97	0.98	0.99	0.98	0.97	0.95	0.98	0.83	0.97	0.99	0.98	0.98	0.96	0.96	0.96	0.97
Tuvalu	0.36	0.49	0.72	0.79	0.37	0.52	0.73	0.59	0.89	0.85	0.99	0.74	0.7	0.8	0.99	0.87	0.97	0.77	0.94	0.83	0.82	0.96	0.98	0.93	0.98	0.93	0.97	0.97	0.99	0.88	0.89	0.96
Uganda		0.09	0.12	0.14	0.14	0.14	0.21	0.3	0.38	0.42	0.45	0.49	0.53	0.56	0.6	0.59	0.57	0.56	0.48	0.5	0.52	0.55	0.57	0.59	0.62	0.64	0.64	0.73	0.71	0.79	0.8	0.82
Ukraine													0.88	0.93	0.97	0.98	0.99	0.99	0.98	0.99	0.99	0.99	0.99	0.97	0.99	0.96	0.98	0.98	0.9	0.71	0.52	0.5
United Arab Emirates	0.11	0.45	0.43	0.5	0.59	0.76	0.78	0.8	0.82	0.84	0.85	0.85	0.86	0.9	0.9	0.9	0.9	0.92	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.92	0.92	0.92	0.93	0.94	0.94
United Kingdom	0.41	0.46	0.53	0.59	0.65	0.65	0.67	0.73	0.75	0.78	0.84	0.88	0.92	0.93	0.93	0.94	0.94	0.92	0.91	0.92	0.91	0.91	0.91	0.91	0.92	0.91	0.92	0.92	0.92	0.93	0.94	0.95
United States	0.96	0.96	0.96	0.97	0.97	0.96	0.97	0.97	0.97	0.94	0.9	0.86	0.83	0.88	0.94	0.95	0.95	0.96	0.96	0.96	0.94	0.94	0.94	0.96	0.96	0.96	0.95	0.95	0.95	0.94	0.94	0.94
Uruguay	0.53	0.57	0.67	0.73	0.62	0.63	0.7	0.85	0.82	0.88	0.97	0.96	0.93	0.92	0.91	0.91	0.91	0.91	0.91	0.93	0.9	0.94	0.95	0.91	0.94	0.96	0.95	0.94	0.94	0.95	0.95	0.95
Uzbekistan													0.9	0.45	0.67	0.87	0.95	0.96	0.99	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.96	0.96	0.98	0.98	0.99	0.99
Vanuatu			0.22	0.27	0.28	0.3	0.31	0.56	0.58	0.61	0.76	0.83	0.77	0.86	0.74	0.73	0.67	0.72	0.72	0.71	0.71	0.7	0.7	0.69	0.69	0.68	0.68	0.68	0.68	0.68	0.68	0.68
Venezuela	0.56	0.54	0.53	0.58	0.33	0.49	0.58	0.57	0.56	0.57	0.63	0.64	0.67	0.67	0.63	0.68	0.57	0.6	0.39	0.76	0.77	0.7	0.65	0.68	0.86	0.87	0.71	0.62	0.5	0.84	0.78	0.78
Vietnam				0.04	0.05	0.42	0.43	0.5	0.7	0.88	0.88	0.88	0.88	0.91	0.94	0.93	0.94	0.95	0.94	0.93	0.96	0.96	0.75	0.99	0.96	0.95	0.94	0.92	0.93	0.96	0.93	0.95
Yemen	0.01	0.03	0.04	0.05	0.07	0.12	0.13	0.18	0.36	0.56	0.84	0.47	0.5	0.54	0.33	0.44	0.47	0.4	0.68	0.72	0.76	0.76	0.69	0.66	0.78	0.85	0.85	0.87	0.87	0.86	0.87	0.81
Zambia				0.49	0.59	0.66	0.66	0.83	0.83	0.83	0.91	0.79	0.83	0.86	0.9	0.86	0.84	0.83	0.84	0.84	0.85	0.85	0.84	0.83	0.83	0.82	0.81	0.8	0.87	0.94	0.83	0.81
Zimbabwe		0.39	0.46	0.53	0.6	0.63	0.75	0.84	0.85	0.87	0.88	0.87	0.86	0.85	0.87	0.88	0.9	0.86	0.84	0.81	0.79	0.76	0.73	0.7	0.68	0.65	0.68	0.72	0.75	0.84	0.94	0.99
