country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Bulgaria	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.98	0.93	0.96	0.95	0.94	0.95	0.96	0.93	0.94	0.93	0.96	0.95	0.96	0.95	0.95	0.95	0.94	0.94	0.95
Burkina Faso						0.09	0.19	0.23	0.34	0.44	0.66	0.53	0.39	0.39	0.36	0.34	0.37	0.39	0.52	0.43	0.63	0.71	0.69	0.79	0.79	0.82	0.86	0.89	0.93	0.92	0.91	0.91
Burundi		0.36	0.33	0.44	0.26	0.36	0.55	0.68	0.51	0.82	0.86	0.83	0.8	0.63	0.48	0.73	0.73	0.74	0.65	0.79	0.8	0.81	0.81	0.82	0.83	0.87	0.92	0.99	0.92	0.94	0.96	0.96
Cambodia					0.17	0.23	0.37	0.37	0.45	0.47	0.38	0.38	0.32	0.35	0.37	0.39	0.43	0.46	0.47	0.53	0.59	0.6	0.54	0.69	0.85	0.82	0.8	0.82	0.91	0.94	0.92	0.94
Cameroon		0.05	0.15	0.25	0.27	0.33	0.39	0.44	0.5	0.56	0.48	0.42	0.37	0.37	0.38	0.46	0.46	0.48	0.56	0.59	0.62	0.63	0.66	0.73	0.73	0.8	0.78	0.75	0.75	0.67	0.68	0.66
Canada								0.85	0.86	0.87	0.88	0.88	0.89	0.9	0.93	0.87	0.9	0.86	0.9	0.91	0.92	0.92	0.93	0.91	0.94	0.94	0.94	0.94	0.94	0.95	0.95	0.95
Cape Verde				0.23	0.31	0.39	0.54	0.92	0.88	0.99	0.88	0.87	0.88	0.89	0.89	0.88	0.88	0.87	0.88	0.89	0.9	0.9	0.91	0.92	0.93	0.95	0.96	0.98	0.99	0.99	0.99	0.9
Central African Republic	0.13	0.11	0.14	0.16	0.17	0.2	0.19	0.22	0.42	0.64	0.82	0.64	0.45	0.47	0.48	0.53	0.48	0.43	0.43	0.33	0.37	0.4	0.44	0.47	0.51	0.54	0.54	0.54	0.54	0.54	0.54	0.54
Chad				0.01	0.03	0.03	0.1	0.14	0.14	0.2	0.2	0.18	0.1	0.13	0.18	0.18	0.2	0.24	0.35	0.45	0.36	0.26	0.25	0.23	0.22	0.26	0.41	0.3	0.19	0.27	0.35	0.22
Chile	0.93	0.99	0.99	0.89	0.99	0.99	0.9	0.93	0.96	0.95	0.95	0.94	0.9	0.9	0.94	0.94	0.91	0.9	0.9	0.95	0.91	0.97	0.97	0.96	0.93	0.91	0.94	0.96	0.95	0.94	0.92	0.94
